time,alcohol,malic_acid,ash,magnesium
2024-01-01 00:00:00,14.23,1.71,2.43,127.0
2024-01-01 12:00:00,13.2,1.78,2.14,100.0
2024-01-02 00:00:00,13.16,2.36,2.67,101.0
2024-01-02 12:00:00,14.37,1.95,2.5,113.0
2024-01-03 00:00:00,13.24,2.59,2.87,118.0
2024-01-03 12:00:00,14.2,1.76,2.45,112.0
2024-01-04 00:00:00,14.39,1.87,2.45,96.0
2024-01-04 12:00:00,14.06,2.15,2.61,121.0
2024-01-05 00:00:00,14.83,1.64,2.17,97.0
2024-01-05 12:00:00,13.86,1.35,2.27,98.0
2024-01-06 00:00:00,14.1,2.16,2.3,105.0
2024-01-06 12:00:00,14.12,1.48,2.32,95.0
2024-01-07 00:00:00,13.75,1.73,2.41,89.0
2024-01-07 12:00:00,14.75,1.73,2.39,91.0
2024-01-08 00:00:00,14.38,1.87,2.38,102.0
2024-01-08 12:00:00,13.63,1.81,2.7,112.0
2024-01-09 00:00:00,14.3,1.92,2.72,120.0
2024-01-09 12:00:00,13.83,1.57,2.62,115.0
2024-01-10 00:00:00,14.19,1.59,2.48,108.0
2024-01-10 12:00:00,13.64,3.1,2.56,116.0
2024-01-11 00:00:00,14.06,1.63,2.28,126.0
2024-01-11 12:00:00,12.93,3.8,2.65,102.0
2024-01-12 00:00:00,13.71,1.86,2.36,101.0
2024-01-12 12:00:00,12.85,1.6,2.52,95.0
2024-01-13 00:00:00,13.5,1.81,2.61,96.0
2024-01-13 12:00:00,13.05,2.05,3.22,124.0
2024-01-14 00:00:00,13.39,1.77,2.62,93.0
2024-01-14 12:00:00,13.3,1.72,2.14,94.0
2024-01-15 00:00:00,13.87,1.9,2.8,107.0
2024-01-15 12:00:00,14.02,1.68,2.21,96.0
2024-01-16 00:00:00,13.73,1.5,2.7,101.0
2024-01-16 12:00:00,13.58,1.66,2.36,106.0
2024-01-17 00:00:00,13.68,1.83,2.36,104.0
2024-01-17 12:00:00,13.76,1.53,2.7,132.0
2024-01-18 00:00:00,13.51,1.8,2.65,110.0
2024-01-18 12:00:00,13.48,1.81,2.41,100.0
2024-01-19 00:00:00,13.28,1.64,2.84,110.0
2024-01-19 12:00:00,13.05,1.65,2.55,98.0
2024-01-20 00:00:00,13.07,1.5,2.1,98.0
2024-01-20 12:00:00,14.22,3.99,2.51,128.0
2024-01-21 00:00:00,13.56,1.71,2.31,117.0
2024-01-21 12:00:00,13.41,3.84,2.12,90.0
2024-01-22 00:00:00,13.88,1.89,2.59,101.0
2024-01-22 12:00:00,13.24,3.98,2.29,103.0
2024-01-23 00:00:00,13.05,1.77,2.1,107.0
2024-01-23 12:00:00,14.21,4.04,2.44,111.0
2024-01-24 00:00:00,14.38,3.59,2.28,102.0
2024-01-24 12:00:00,13.9,1.68,2.12,101.0
2024-01-25 00:00:00,14.1,2.02,2.4,103.0
2024-01-25 12:00:00,13.94,1.73,2.27,108.0
2024-01-26 00:00:00,13.05,1.73,2.04,92.0
2024-01-26 12:00:00,13.83,1.65,2.6,94.0
2024-01-27 00:00:00,13.82,1.75,2.42,111.0
2024-01-27 12:00:00,13.77,1.9,2.68,115.0
2024-01-28 00:00:00,13.74,1.67,2.25,118.0
2024-01-28 12:00:00,13.56,1.73,2.46,116.0
2024-01-29 00:00:00,14.22,1.7,2.3,118.0
2024-01-29 12:00:00,13.29,1.97,2.68,102.0
2024-01-30 00:00:00,13.72,1.43,2.5,108.0
2024-01-30 12:00:00,12.37,0.94,1.36,88.0
2024-01-31 00:00:00,12.33,1.1,2.28,101.0
2024-01-31 12:00:00,12.64,1.36,2.02,100.0
2024-02-01 00:00:00,13.67,1.25,1.92,94.0
2024-02-01 12:00:00,12.37,1.13,2.16,87.0
2024-02-02 00:00:00,12.17,1.45,2.53,104.0
2024-02-02 12:00:00,12.37,1.21,2.56,98.0
2024-02-03 00:00:00,13.11,1.01,1.7,78.0
2024-02-03 12:00:00,12.37,1.17,1.92,78.0
2024-02-04 00:00:00,13.34,0.94,2.36,110.0
2024-02-04 12:00:00,12.21,1.19,1.75,151.0
2024-02-05 00:00:00,12.29,1.61,2.21,103.0
2024-02-05 12:00:00,13.86,1.51,2.67,86.0
2024-02-06 00:00:00,13.49,1.66,2.24,87.0
2024-02-06 12:00:00,12.99,1.67,2.6,139.0
2024-02-07 00:00:00,11.96,1.09,2.3,101.0
2024-02-07 12:00:00,11.66,1.88,1.92,97.0
2024-02-08 00:00:00,13.03,0.9,1.71,86.0
2024-02-08 12:00:00,11.84,2.89,2.23,112.0
2024-02-09 00:00:00,12.33,0.99,1.95,136.0
2024-02-09 12:00:00,12.7,3.87,2.4,101.0
2024-02-10 00:00:00,12.0,0.92,2.0,86.0
2024-02-10 12:00:00,12.72,1.81,2.2,86.0
2024-02-11 00:00:00,12.08,1.13,2.51,78.0
2024-02-11 12:00:00,13.05,3.86,2.32,85.0
2024-02-12 00:00:00,11.84,0.89,2.58,94.0
2024-02-12 12:00:00,12.67,0.98,2.24,99.0
2024-02-13 00:00:00,12.16,1.61,2.31,90.0
2024-02-13 12:00:00,11.65,1.67,2.62,88.0
2024-02-14 00:00:00,11.64,2.06,2.46,84.0
2024-02-14 12:00:00,12.08,1.33,2.3,70.0
2024-02-15 00:00:00,12.08,1.83,2.32,81.0
2024-02-15 12:00:00,12.0,1.51,2.42,86.0
2024-02-16 00:00:00,12.69,1.53,2.26,80.0
2024-02-16 12:00:00,12.29,2.83,2.22,88.0
2024-02-17 00:00:00,11.62,1.99,2.28,98.0
2024-02-17 12:00:00,12.47,1.52,2.2,162.0
2024-02-18 00:00:00,11.81,2.12,2.74,134.0
2024-02-18 12:00:00,12.29,1.41,1.98,85.0
2024-02-19 00:00:00,12.37,1.07,2.1,88.0
2024-02-19 12:00:00,12.29,3.17,2.21,88.0
2024-02-20 00:00:00,12.08,2.08,1.7,97.0
2024-02-20 12:00:00,12.6,1.34,1.9,88.0
2024-02-21 00:00:00,12.34,2.45,2.46,98.0
2024-02-21 12:00:00,11.82,1.72,1.88,86.0
2024-02-22 00:00:00,12.51,1.73,1.98,85.0
2024-02-22 12:00:00,12.42,2.55,2.27,90.0
2024-02-23 00:00:00,12.25,1.73,2.12,80.0
2024-02-23 12:00:00,12.72,1.75,2.28,84.0
2024-02-24 00:00:00,12.22,1.29,1.94,92.0
2024-02-24 12:00:00,11.61,1.35,2.7,94.0
2024-02-25 00:00:00,11.46,3.74,1.82,107.0
2024-02-25 12:00:00,12.52,2.43,2.17,88.0
2024-02-26 00:00:00,11.76,2.68,2.92,103.0
2024-02-26 12:00:00,11.41,0.74,2.5,88.0
2024-02-27 00:00:00,12.08,1.39,2.5,84.0
2024-02-27 12:00:00,11.03,1.51,2.2,85.0
2024-02-28 00:00:00,11.82,1.47,1.99,86.0
2024-02-28 12:00:00,12.42,1.61,2.19,108.0
2024-02-29 00:00:00,12.77,3.43,1.98,80.0
2024-02-29 12:00:00,12.0,3.43,2.0,87.0
2024-03-01 00:00:00,11.45,2.4,2.42,96.0
2024-03-01 12:00:00,11.56,2.05,3.23,119.0
2024-03-02 00:00:00,12.42,4.43,2.73,102.0
2024-03-02 12:00:00,13.05,5.8,2.13,86.0
2024-03-03 00:00:00,11.87,4.31,2.39,82.0
2024-03-03 12:00:00,12.07,2.16,2.17,85.0
2024-03-04 00:00:00,12.43,1.53,2.29,86.0
2024-03-04 12:00:00,11.79,2.13,2.78,92.0
2024-03-05 00:00:00,12.37,1.63,2.3,88.0
2024-03-05 12:00:00,12.04,4.3,2.38,80.0
2024-03-06 00:00:00,12.86,1.35,2.32,122.0
2024-03-06 12:00:00,12.88,2.99,2.4,104.0
2024-03-07 00:00:00,12.81,2.31,2.4,98.0
2024-03-07 12:00:00,12.7,3.55,2.36,106.0
2024-03-08 00:00:00,12.51,1.24,2.25,85.0
2024-03-08 12:00:00,12.6,2.46,2.2,94.0
2024-03-09 00:00:00,12.25,4.72,2.54,89.0
2024-03-09 12:00:00,12.53,5.51,2.64,96.0
2024-03-10 00:00:00,13.49,3.59,2.19,88.0
2024-03-10 12:00:00,12.84,2.96,2.61,101.0
2024-03-11 00:00:00,12.93,2.81,2.7,96.0
2024-03-11 12:00:00,13.36,2.56,2.35,89.0
2024-03-12 00:00:00,13.52,3.17,2.72,97.0
2024-03-12 12:00:00,13.62,4.95,2.35,92.0
2024-03-13 00:00:00,12.25,3.88,2.2,112.0
2024-03-13 12:00:00,13.16,3.57,2.15,102.0
2024-03-14 00:00:00,13.88,5.04,2.23,80.0
2024-03-14 12:00:00,12.87,4.61,2.48,86.0
2024-03-15 00:00:00,13.32,3.24,2.38,92.0
2024-03-15 12:00:00,13.08,3.9,2.36,113.0
2024-03-16 00:00:00,13.5,3.12,2.62,123.0
2024-03-16 12:00:00,12.79,2.67,2.48,112.0
2024-03-17 00:00:00,13.11,1.9,2.75,116.0
2024-03-17 12:00:00,13.23,3.3,2.28,98.0
2024-03-18 00:00:00,12.58,1.29,2.1,103.0
2024-03-18 12:00:00,13.17,5.19,2.32,93.0
2024-03-19 00:00:00,13.84,4.12,2.38,89.0
2024-03-19 12:00:00,12.45,3.03,2.64,97.0
2024-03-20 00:00:00,14.34,1.68,2.7,98.0
2024-03-20 12:00:00,13.48,1.67,2.64,89.0
2024-03-21 00:00:00,12.36,3.83,2.38,88.0
2024-03-21 12:00:00,13.69,3.26,2.54,107.0
2024-03-22 00:00:00,12.85,3.27,2.58,106.0
2024-03-22 12:00:00,12.96,3.45,2.35,106.0
2024-03-23 00:00:00,13.78,2.76,2.3,90.0
2024-03-23 12:00:00,13.73,4.36,2.26,88.0
2024-03-24 00:00:00,13.45,3.7,2.6,111.0
2024-03-24 12:00:00,12.82,3.37,2.3,88.0
2024-03-25 00:00:00,13.58,2.58,2.69,105.0
2024-03-25 12:00:00,13.4,4.6,2.86,112.0
2024-03-26 00:00:00,12.2,3.03,2.32,96.0
2024-03-26 12:00:00,12.77,2.39,2.28,86.0
2024-03-27 00:00:00,14.16,2.51,2.48,91.0
2024-03-27 12:00:00,13.71,5.65,2.45,95.0
2024-03-28 00:00:00,13.4,3.91,2.48,102.0
2024-03-28 12:00:00,13.27,4.28,2.26,120.0
